"column1","column2","Column 3","Column 4","Column 5"
"ACCI","A C C I Corp","","",""
"ACD","American Consulting & Distribution Corp","","",""
"ACECO","Aluminum Casting & Engineering Co Inc","","",""
"ACLD","Adults And Children With Learning And Developmental Disabilities Inc","","",""
"ACLU","American Civil Liberties Union","","",""
"ACMS","Advanced Concepts & Mission Systems","","",""
"ACPO","Association Of The Chemical Profession Of Ontario","","",""
"ACS","Aerospace Center Support","","",""
"ACS","Affiliated Computer Services Inc","","",""
"ACS","Applied Computer Solutions","","",""
"ACSI","Advanced Containment Systems Inc","","",""
"ACSS","Aviation Communication & Surveillance Systems LLC","","",""
"ACTI","Advanced Cleanup Technologies Inc","","",""
"ACTS","ACTS Retirement-Life Communities Inc","","",""
"ADA","Alternative Distribution Alliance","","",""
"ADC","Andalusia Distributing Co Inc","","",""
"ADCA","Arkansas Dairy Cooperative Association","","",""
"ADI","Airgas Direct Industrial","","",""
"ADL","Anti-Defamation League Of B'nai B'rith","","",""
"ADM","Administrative Data Management Corp","","",""
"ADM","Archer Daniels Midland Co","","",""
"ADP","Automatic Data Processing Inc","","",""
"ADRA","Adventist Development And Relief Agency International","","",""
"ADRF","Advanced Rf Technologies Inc","","",""
"ADS","Anpesil Distribution Services Inc","","",""
"ADSI","Advanced Digital Solutions International","","",""
"ADT","Almacenes De Tejas LP","","",""
"AECI","Arkansas Electric Cooperatives Inc","","",""
"AED","Academy For Educatnal Development","","",""
"AEPI","AEP Industries Inc","","",""
"AESO","Alberta Electric System Operator","","",""
"AET","American Engineering Testing Inc","","",""
"AEZ","??terna Zentaris Inc","","",""
"AFCO","Associated Fuel Pump Systems Corp","","",""
"AFD","Alberta Fuel Distributors Inc","","",""
"AFI","Advanced Fixtures Inc","","",""
"AFLAC","AFLAC Inc","","",""
"AFMDA","American Friends Of Magen David Adom","","",""
"AFP","Atikokan Forest Products Ltd","","",""
"AFS","Alliant Foodservice Inc","","",""
"AFSC","Agriculture Financial Services Corp","","",""
"AGEECLG","Association Generale ??tudiants ??tudiantes du Coll??ge Lionel Groulx Inc","","",""
"AGSI","American General Securities Inc","","",""
"AGT","Americas Global Trade LLC","","",""
"AGY","AGY Holding Corp","","",""
"AHC","American Health Co's Inc","","",""
"AHCA","American Health Care Association","","",""
"AHIP","Americas Health Insurance Plans","","",""
"AIAA","American Institute Of Aeronautics And Astronautics","","",""
"AIC","Analysts International Corp","","",""
"AICR","American Institute For Cancer Research Inc","","",""
"AIFP","American International Forest Products LLC","","",""
"AIG","AIG VALIC","","",""
"AIGDC","American International Group Data Center Inc","","",""
"AIPAC","American Israel Public Affairs Committee Inc","","",""
"AIR","American Institutes for Research","","",""
"AISC","American International Security Corp","","",""
"AISI","American Iron & Steel Institute Inc","","",""
"AIUSA","Amnesty International Of The USA Inc","","",""
"AKR","A K Rashidzada Corp","","",""
"ALAGASCO","Alabama Gas Corp","","",""
"ALKS","Alkermes Inc","","",""
"AMAC","American Mortgage Acceptance Co","","",""
