"column1","column2","column3","column4","column5","column6","column7","column8","column9"
"LAUNDERER","LAUNDERER","","","","","","",""
"LAWYER","LAWYER","","","","","","",""
"LECTURER","LECTURER","","","","","","",""
"LIBRARIAN","LIBRARIAN","","","","","","",""
"LITHOGRAPHER","LITHOGRAPHER","","","","","","",""
"LOCKSMITH","LOCKSMITH","","","","","","",""
"LOGISTICIAN","LOGISTICIAN","","","","","","",""
"LORRY DRIVER","LORRY DRIVER","","","","","","",""
"MACHINIST","MACHINIST","","","","","","",""
"MAGICIAN","MAGICIAN","","","","","","",""
"MAILMAN","MAILMAN","","","","","","",""
"MANUFACTURER","MANUFACTURER","","","","","","",""
"MARINE OFFICER","MARINE OFFICER","","","","","","",""
"MARKETER","MARKETER","","","","","","",""
"MARKETING","MARKETING","","","","","","",""
"MECHANIC","MECHANIC","","","","","","",""
"MEDICAL DOCTOR","MEDICAL DOCTOR","","","","","","",""
"MEDICAL PRACTITIONER","MEDICAL PRACTITIONER","","","","","","",""
"MERCHANDISER","MERCHANDISER","","","","","","",""
"MERCHANT","MERCHANT","","","","","","",""
"METALLURGIST","METALLURGIST","","","","","","",""
"METEOROLOGIST","METEOROLOGIST","","","","","","",""
"MICROBIOLOGIST","MICROBIOLOGIST","","","","","","",""
"MILLER","MILLER","","","","","","",""
"MILLINER","MILLINER","","","","","","",""
"MINER","MINER","","","","","","",""
"MISSIONARY","MISSIONARY","","","","","","",""
"MONK","MONK","","","","","","",""
"MORTICIAN","MORTICIAN","","","","","","",""
"MUNICIPAL WORKER","MUNICIPAL WORKER","","","","","","",""
"MUSICIAN","MUSICIAN","","","","","","",""
"NAVAL OFFICER","NAVAL OFFICER","","","","","","",""
"NEPHROLOGIST","NEPHROLOGIST","","","","","","",""
"NEUROBIOLOGIST","NEUROBIOLOGIST","","","","","","",""
"NEUROLOGIST","NEUROLOGIST","","","","","","",""
"NEWSCASTER","NEWSCASTER","","","","","","",""
"NUN","NUN","","","","","","",""
"NURSE","NURSE","","","","","","",""
"NUTRIONIST","NUTRIONIST","","","","","","",""
"OBSTETRICIAN","OBSTETRICIAN","","","","","","",""
"OFFICE","OFFICE","","","","","","",""
"ONCOLOGIST","ONCOLOGIST","","","","","","",""
"OPTHALMOLOGY","OPTHALMOLOGY","OPHTHALMOLOGIST","","","","","",""
"OPTICIAN","OPTICIAN","","","","","","",""
"OPTOMETRIST","OPTOMETRIST","","","","","","",""
"ORTHODONTIST","ORTHODONTIST","","","","","","",""
"OTHER","OTHER","","","","","","",""
"PAINTER","PAINTER","","","","","","",""
"PALEONTOLOGIST","PALEONTOLOGIST","","","","","","",""
"PATHOLOGIST","PATHOLOGIST","","","","","","",""
"PAWNBROKER","PAWNBROKER","","","","","","",""
"PEDIATRICIAN","PEDIATRICIAN","","","","","","",""
"PERFORMER","PERFORMER","","","","","","",""
"PERIODONTIST","PERIODONTIST","","","","","","",""
"PHARMACIST","PHARMACIST","","","","","","",""
"PHOTOGRAPHER","PHOTOGRAPHER","","","","","","",""
"PHYSICAL THERAPIST","PHYSICAL THERAPIST","","","","","","",""
"PHYSICIAN","PHYSICIAN","PHYSICIANS","","","","","",""
"PHYSICIST","PHYSICIST","","","","","","",""
"PHYSIOTHERAPIST","PHYSIOTHERAPIST","","","","","","",""
"PLANNER","PLANNER","","","","","","",""
